claim_text,supported_status,supporting_output,caveat,allowed_language,prohibited_language
M33 baryons alone do not explain the rotation curve,supported,outputs/tables/phase3c_combined_model_comparison.csv,D1-derived baryonic velocities PASS_WITH_CAVEAT; fit mask 0.4–23 kpc.,Baryonic-only baseline has large RMSE/χ² vs observed rotation on the fit mask.,Baryons are ruled out as the sole mass component without caveat on derived velocities.
NFW is a strong ΛCDM baseline,supported,outputs/tables/phase3c_combined_model_comparison.csv,Two-parameter halo on D1 baryons; reference comparison not TDF validation.,NFW achieves reduced χ²≈1.2 and competitive AIC/BIC vs low-parameter TDF on this dataset.,NFW proves ΛCDM or disproves TDF.
Burkert is boundary-limited in this processed dataset,supported,outputs/tables/phase2c_model_audit_summary.csv,r₀ at upper fit bound (~200 kpc); poor match to Corbelli BVI reference scale.,Burkert fit hits r₀ upper bound; high RMSE; not a stable publication anchor here.,Burkert is falsified or preferred over NFW/TDF without boundary caveat.
A 3-knot TDF radial model fits M33 rotation residuals competitively,supported,outputs/tables/phase3c_combined_model_comparison.csv,Rotation-only; K_τ=1 normalization; D1 baryonic caveat; not lensing evidence.,tdf_lowparam_3knot RMSE/AIC/BIC competitive with NFW on fit mask (see key results table).,TDF replaces dark matter or outperforms all cosmological models.
The 3-knot TDF advantage is stable under tested sensitivity checks,caveated,outputs/tables/phase3d_tdf_sensitivity_summary.csv,Beats NFW on AIC at default mask; mask/K_τ audits show qualifiers (see Phase 3D report).,3-knot ranking stable under default and moderate mask variants; document K_τ degeneracy.,TDF is robust to all systematics or independent of baryonic derivation.
A 2D τ-map was generated from the radial TDF model,supported,outputs/tables/phase4a_tau_2d_map_metadata.csv,"Axisymmetric disk-plane extension τ_2d(x,y)=τ_radial(R); no separate 2D fit.",Phase 4A map from frozen tdf_lowparam_3knot radial profile.,2D τ-map is an independent spatial fit or traces spiral arms.
A normalized deflection proxy was generated from the same frozen τ-map,supported,outputs/tables/phase5a_lensing_prediction_metadata.csv,units=normalized_proxy; no arcsec calibration.,Phase 5A deflection-proxy maps from sky-projected τ; prediction scaffold only.,Measured lensing deflection or convergence in arcsec.
López Fune upper-bound consistency is PASS_WITH_CAVEAT,supported,outputs/tables/phase5c_upper_bound_consistency_summary.csv,Dynamics/rotation-based M_enclosed reference; partial Corbelli circularity; not lensing.,M_tau_eff proxy within López Fune 1σ envelope at ~23 kpc (PASS_WITH_CAVEAT).,τ mass equals observed DM or confirms TDF lensing.
Direct weak-lensing comparison is not yet available,future_work,docs/lensing_constraint_source_review.md,m33_direct_weak_lensing_gap documented in Phase 5B-B review.,No M33-specific weak-lensing map in repo; comparison deferred.,Weak lensing confirms or refutes τ deflection.
Dark matter is not disproven,prohibited,outputs/tables/phase3d_tdf_sensitivity_summary.csv,NFW remains ΛCDM reference; TDF is rotation-dynamics consistency only.,Pipeline does not claim DM replacement; halo baselines retained for context.,Dark matter disproven; no need for dark matter; TDF replaces dark matter.
